Epoch,Avg Train Loss,Avg Train Accuracy,Avg Val Loss,Avg Val Accuracy
1,2.0365200000000003,27.078000000000003,1.90156,32.065999999999995
2,1.5415199999999998,42.574,1.6905999999999999,41.238
3,1.3176,51.89,1.7126000000000001,43.116
4,1.1212,59.724000000000004,1.32128,53.666
5,0.97088,65.476,1.04372,63.044
6,0.86182,69.482,1.07402,62.734
7,0.7670600000000001,73.09,0.98892,66.17999999999999
8,0.6847,75.95400000000001,0.8900400000000002,70.518
9,0.62286,78.168,0.76566,73.604
10,0.57212,80.034,0.69704,76.018
11,0.51938,81.946,0.63612,78.364
12,0.48247999999999996,83.24,0.7319,75.19800000000001
13,0.45236,84.268,0.5906399999999999,80.0
14,0.42433999999999994,85.276,0.6724399999999999,77.392
15,0.39780000000000004,86.274,0.55668,81.122
16,0.38188,86.722,0.55908,81.35
17,0.36307999999999996,87.39200000000001,0.5555,81.67
18,0.34547999999999995,88.046,0.5838599999999999,80.38
19,0.33228,88.518,0.52506,82.686
20,0.32202000000000003,88.834,0.45036,84.79400000000001
